,NAME,Address1,Address2,PHONE,street address,city,zipcode
452,Turner Memorial AME Church,"3610 S Giles AveChicago, IL 60653","3610+S+Giles+AveChicago,+IL+60653",(773) 548-4111,3610 S Giles Ave,Chicago,60653
453,Agape Church,"3821 W 18th StChicago, IL 60623","3821+W+18th+StChicago,+IL+60623",(773) 277-8515,3821 W 18th St,Chicago,60623
454,Institute Biblico International,"3435 W Wabansia AveChicago, IL 60647","3435+W+Wabansia+AveChicago,+IL+60647",(773) 862-2554,3435 W Wabansia Ave,Chicago,60647
455,Serbian Orthodox Church of the Holy Resurrection,"3062 W Palmer BlvdChicago, IL 60647","3062+W+Palmer+BlvdChicago,+IL+60647",(773) 252-4545,3062 W Palmer Blvd,Chicago,60647
456,First Church Of The Nazarene,"500 N Laramie AveChicago, IL 60644","500+N+Laramie+AveChicago,+IL+60644",(773) 921-4673,500 N Laramie Ave,Chicago,60644
457,New Jerusalem #133 Psalms Miss,"1533 S Pulaski RdChicago, IL 60623","1533+S+Pulaski+RdChicago,+IL+60623",(773) 522-9008,1533 S Pulaski Rd,Chicago,60623
458,Life Center Church Of Deliverance And Out Reach Ministry,"855 N Monticello AveChicago, IL 60651","855+N+Monticello+AveChicago,+IL+60651",(773) 772-7027,855 N Monticello Ave,Chicago,60651
459,Work of His Hands Ministries,"1318 S Pulaski RdChicago, IL 60623","1318+S+Pulaski+RdChicago,+IL+60623",(773) 277-8883,1318 S Pulaski Rd,Chicago,60623
460,Church Of God,"3048 S Central Park AveChicago, IL 60623","3048+S+Central+Park+AveChicago,+IL+60623",(773) 823-1557,3048 S Central Park Ave,Chicago,60623
461,The United Church Of Hyde Park,"1448 E 53rd StChicago, IL 60615","1448+E+53rd+StChicago,+IL+60615",(773) 363-1620,1448 E 53rd St,Chicago,60615
462,St John Church-Baptist,"4835 S Michigan AveChicago, IL 60615","4835+S+Michigan+AveChicago,+IL+60615",(773) 536-9941,4835 S Michigan Ave,Chicago,60615
463,First Baptist Church-Chicago,"935 E 50th StChicago, IL 60615","935+E+50th+StChicago,+IL+60615",(773) 536-9851,935 E 50th St,Chicago,60615
464,Church Of The Advent,"2900 W Logan BlvdChicago, IL 60647","2900+W+Logan+BlvdChicago,+IL+60647",(773) 304-5003,2900 W Logan Blvd,Chicago,60647
465,Church of Jesus Christ of Latter-Day Saints,"3250 S Pulaski RdChicago, IL 60623","3250+S+Pulaski+RdChicago,+IL+60623",(773) 890-9285,3250 S Pulaski Rd,Chicago,60623
466,Iglesia Presbiteriana Cumberland Ebenezer Of Chica,"1941 W Belmont AveChicago, IL 60657","1941+W+Belmont+AveChicago,+IL+60657",(773) 528-8218,1941 W Belmont Ave,Chicago,60657
467,Church In The City,"3146 W Lyndale StChicago, IL 60647","3146+W+Lyndale+StChicago,+IL+60647",(773) 276-4890,3146 W Lyndale St,Chicago,60647
468,Armitage Baptist Church,"2451 N Kedzie BlvdChicago, IL 60647","2451+N+Kedzie+BlvdChicago,+IL+60647",(773) 384-6800,2451 N Kedzie Blvd,Chicago,60647
469,Holy Spiritual Temple,"5541 S State StChicago, IL 60621","5541+S+State+StChicago,+IL+60621",(773) 493-1742,5541 S State St,Chicago,60621
470,Crossroads Christian Church,"1434 W Montrose AveChicago, IL 60613","1434+W+Montrose+AveChicago,+IL+60613",(773) 772-0400,1434 W Montrose Ave,Chicago,60613
471,Rose Of Sharon Community Church,"4256 W Walton StChicago, IL 60651","4256+W+Walton+StChicago,+IL+60651",(773) 227-7993,4256 W Walton St,Chicago,60651
472,St Hyacinth,"3640 W Wolfram StChicago, IL 60618","3640+W+Wolfram+StChicago,+IL+60618",(773) 342-7550,3640 W Wolfram St,Chicago,60618
473,Redeem Tabernacle Church-God,"1340 S Pulaski RdChicago, IL 60623","1340+S+Pulaski+RdChicago,+IL+60623",(773) 522-0404,1340 S Pulaski Rd,Chicago,60623
474,Second Unitarian Church,"656 W Barry AveChicago, IL 60657","656+W+Barry+AveChicago,+IL+60657",(773) 857-3005,656 W Barry Ave,Chicago,60657
475,St Pancratius Church,"4025 S Sacramento AveChicago, IL 60632","4025+S+Sacramento+AveChicago,+IL+60632",(773) 523-5666,4025 S Sacramento Ave,Chicago,60632
476,Nigerian Islamic Assn Of Usa,"932 W Sheridan RdChicago, IL 60613","932+W+Sheridan+RdChicago,+IL+60613",(773) 665-2451,932 W Sheridan Rd,Chicago,60613
477,Gethsemane Star Baptist Church,"3535 W 15th StChicago, IL 60623","3535+W+15th+StChicago,+IL+60623",(773) 277-5135,3535 W 15th St,Chicago,60623
478,True Gospel Church of God In Christ,"3615 W Roosevelt RdChicago, IL 60624","3615+W+Roosevelt+RdChicago,+IL+60624",(773) 522-0104,3615 W Roosevelt Rd,Chicago,60624
479,Mount Ebenezer Baptist Church,"3555 W Huron StChicago, IL 60624","3555+W+Huron+StChicago,+IL+60624",(773) 826-5733,3555 W Huron St,Chicago,60624
480,St Bonaventure,"1641 W Diversey PkwyChicago, IL 60614","1641+W+Diversey+PkwyChicago,+IL+60614",(773) 281-6588,1641 W Diversey Pkwy,Chicago,60614
481,Archdiocese of Chicago Pastoral Centers Auxiliary Bishops,"1641 W Diversey PkwyChicago, IL 60614","1641+W+Diversey+PkwyChicago,+IL+60614",(773) 388-8670,1641 W Diversey Pkwy,Chicago,60614
482,The Manse,"1866 N Richmond StChicago, IL 60647","1866+N+Richmond+StChicago,+IL+60647",(312) 787-7572,1866 N Richmond St,Chicago,60647
483,New Life Covenant,"3400 W Division StChicago, IL 60651","3400+W+Division+StChicago,+IL+60651",(773) 697-4080,3400 W Division St,Chicago,60651
484,Sunshine Baptist Church,"3660 W Roosevelt RdChicago, IL 60624","3660+W+Roosevelt+RdChicago,+IL+60624",(773) 638-1017,3660 W Roosevelt Rd,Chicago,60624
485,New St. John Community Baptist Church,"1230 S Millard AveChicago, IL 60623","1230+S+Millard+AveChicago,+IL+60623",(773) 522-1138,1230 S Millard Ave,Chicago,60623
486,Stone Temple Baptist Church,"3622 W Douglas BlvdChicago, IL 60623","3622+W+Douglas+BlvdChicago,+IL+60623",(773) 762-0013,3622 W Douglas Blvd,Chicago,60623
487,Holy Angels Church,"615 E Oakwood BlvdChicago, IL 60653","615+E+Oakwood+BlvdChicago,+IL+60653",(773) 624-5375,615 E Oakwood Blvd,Chicago,60653
488,Good News Bible Church,"2825 W Mclean Ave Ste 2Chicago, IL 60647","2825+W+Mclean+Ave+Ste+2Chicago,+IL+60647",(773) 252-7789,2825 W Mclean Ave Ste 2,Chicago,60647
489,Salem Evangelical Free Church,"2825 W Mclean AveChicago, IL 60647","2825+W+Mclean+AveChicago,+IL+60647",(773) 227-6309,2825 W Mclean Ave,Chicago,60647
490,Jehovah's Witnesses,"1617 N Kedzie AveChicago, IL 60647","1617+N+Kedzie+AveChicago,+IL+60647",(773) 772-8510,1617 N Kedzie Ave,Chicago,60647
491,Franson-Risberg Memorial Mission,"2026 N Mozart StChicago, IL 60647","2026+N+Mozart+StChicago,+IL+60647",(773) 772-4348,2026 N Mozart St,Chicago,60647
492,Church of the Living God,"1251 S Lawndale AveChicago, IL 60623","1251+S+Lawndale+AveChicago,+IL+60623",(773) 522-4393,1251 S Lawndale Ave,Chicago,60623
493,New Dimensions Church,"745 S Independence BlvdChicago, IL 60624","745+S+Independence+BlvdChicago,+IL+60624",(773) 533-6393,745 S Independence Blvd,Chicago,60624
494,Monumental Baptist Church,"729 E Oakwood BlvdChicago, IL 60653","729+E+Oakwood+BlvdChicago,+IL+60653",(773) 924-5266,729 E Oakwood Blvd,Chicago,60653
495,Church Of God,"3301 W Le Moyne StChicago, IL 60651","3301+W+Le+Moyne+StChicago,+IL+60651",(773) 697-3634,3301 W Le Moyne St,Chicago,60651
496,Care Of Life,"2956 N Lincoln AveChicago, IL 60657","2956+N+Lincoln+AveChicago,+IL+60657",(773) 435-0211,2956 N Lincoln Ave,Chicago,60657
497,Southshore Church,"3619 S Leavitt StChicago, IL 60609","3619+S+Leavitt+StChicago,+IL+60609",(773) 890-5903,3619 S Leavitt St,Chicago,60609
498,Pentecostal Church of Jesus Christ,"1908 N Humboldt BlvdChicago, IL 60647","1908+N+Humboldt+BlvdChicago,+IL+60647",(872) 713-9044,1908 N Humboldt Blvd,Chicago,60647
499,Ethos Presbyterian Church,"2961 N Lincoln AveChicago, IL 60657","2961+N+Lincoln+AveChicago,+IL+60657",(872) 206-5256,2961 N Lincoln Ave,Chicago,60657
500,Lien-Hoa Buddhist Temple,"1634 N Kedzie AveChicago, IL 60647","1634+N+Kedzie+AveChicago,+IL+60647",(773) 772-5445,1634 N Kedzie Ave,Chicago,60647
501,Evangelical Spanish Baptist Church,"3008 W Cortland StChicago, IL 60647","3008+W+Cortland+StChicago,+IL+60647",(773) 252-0559,3008 W Cortland St,Chicago,60647
502,Bapist Church,"4147 S Princeton AveChicago, IL 60609","4147+S+Princeton+AveChicago,+IL+60609",(773) 952-8296,4147 S Princeton Ave,Chicago,60609
503,New Morning Star Mb Church,"210 S Hamlin BlvdChicago, IL 60624","210+S+Hamlin+BlvdChicago,+IL+60624",(773) 826-3410,210 S Hamlin Blvd,Chicago,60624
504,Salvation & Deliverance Full Gospel Church Inc,"1540 N Spaulding AveChicago, IL 60651","1540+N+Spaulding+AveChicago,+IL+60651",(773) 904-8391,1540 N Spaulding Ave,Chicago,60651
505,Salvation and Deliverance Ministries International,"1540 N Spaulding AveChicago, IL 60651","1540+N+Spaulding+AveChicago,+IL+60651",(773) 227-2500,1540 N Spaulding Ave,Chicago,60651
506,Direct Thy Path M B Church,"1449 S Lawndale AveChicago, IL 60623","1449+S+Lawndale+AveChicago,+IL+60623",(773) 762-1367,1449 S Lawndale Ave,Chicago,60623
507,River North Baptist Church,"3255 W North AveChicago, IL 60647","3255+W+North+AveChicago,+IL+60647",(773) 486-6418,3255 W North Ave,Chicago,60647
508,Greater Rock Missionary Baptist,"718 S Independence BlvdChicago, IL 60624","718+S+Independence+BlvdChicago,+IL+60624",(773) 722-7701,718 S Independence Blvd,Chicago,60624
509,All Nation Pentecostal House of Prayer,"3644 W Chicago AveChicago, IL 60651","3644+W+Chicago+AveChicago,+IL+60651",(773) 227-8977,3644 W Chicago Ave,Chicago,60651
510,Sanctuary Of Deliverance COGIC,"3637 W 16th StChicago, IL 60623","3637+W+16th+StChicago,+IL+60623",(773) 277-3369,3637 W 16th St,Chicago,60623
511,Progressive Holy Trinity,"3654 W Chicago AveChicago, IL 60651","3654+W+Chicago+AveChicago,+IL+60651",(773) 772-1205,3654 W Chicago Ave,Chicago,60651
512,Fuente De Salvacion,"3304 W North AveChicago, IL 60647","3304+W+North+AveChicago,+IL+60647",(773) 698-8488,3304 W North Ave,Chicago,60647
513,Humboldt Park United Methodist Church,"2120 N Mozart StChicago, IL 60647","2120+N+Mozart+StChicago,+IL+60647",(773) 342-0441,2120 N Mozart St,Chicago,60647
514,Jehovah's Witnesses,"4157 S Michigan AveChicago, IL 60653","4157+S+Michigan+AveChicago,+IL+60653",(773) 548-0970,4157 S Michigan Ave,Chicago,60653
515,Saint Peter's Episcopal Church,"621 W Belmont AveChicago, IL 60657","621+W+Belmont+AveChicago,+IL+60657",(773) 525-0844,621 W Belmont Ave,Chicago,60657
516,Greater Progressive Baptist Church,"1625 S Lawndale AveChicago, IL 60623","1625+S+Lawndale+AveChicago,+IL+60623",(773) 522-8575,1625 S Lawndale Ave,Chicago,60623
517,Jerusalem Baptist Church,"4218 S Wentworth AveChicago, IL 60609","4218+S+Wentworth+AveChicago,+IL+60609",(773) 373-8063,4218 S Wentworth Ave,Chicago,60609
518,North Maplewood Church of God,"2441 N Maplewood AveChicago, IL 60647","2441+N+Maplewood+AveChicago,+IL+60647",(773) 772-2832,2441 N Maplewood Ave,Chicago,60647
519,Rev Charles E Davis Reverend,"3520 S Indiana AveChicago, IL 60653","3520+S+Indiana+AveChicago,+IL+60653",(312) 842-1809,3520 S Indiana Ave,Chicago,60653
520,Crusaders Church,"3821 S Michigan AveChicago, IL 60653","3821+S+Michigan+AveChicago,+IL+60653",(872) 303-3813,3821 S Michigan Ave,Chicago,60653
521,Moorish Science Temple of America Inc,"3810 S Wabash AveChicago, IL 60653","3810+S+Wabash+AveChicago,+IL+60653",(773) 285-3313,3810 S Wabash Ave,Chicago,60653
522,Saint Thomas Episcopal Parish House,"3801 S Wabash AveChicago, IL 60653","3801+S+Wabash+AveChicago,+IL+60653",(773) 624-4843,3801 S Wabash Ave,Chicago,60653
523,Zion Pentecostal Church of God in Christ,"4018 S Cottage Grove AveChicago, IL 60653","4018+S+Cottage+Grove+AveChicago,+IL+60653",(773) 548-9466,4018 S Cottage Grove Ave,Chicago,60653
524,New Life Community Zone Sch,"3540 W Cermak RdChicago, IL 60623","3540+W+Cermak+RdChicago,+IL+60623",(773) 312-2892,3540 W Cermak Rd,Chicago,60623
525,Sidney Grandberry Church,"3855 W Harrison StChicago, IL 60624","3855+W+Harrison+StChicago,+IL+60624",(773) 533-5858,3855 W Harrison St,Chicago,60624
526,Our Lady of Mt. Carmel Church,"708 W Belmont AveChicago, IL 60657","708+W+Belmont+AveChicago,+IL+60657",(773) 525-0453,708 W Belmont Ave,Chicago,60657
527,Greater Galilee Missionary Baptist Church,"1308 S Independence BlvdChicago, IL 60623","1308+S+Independence+BlvdChicago,+IL+60623",(773) 521-4330,1308 S Independence Blvd,Chicago,60623
528,Good News Community Baptist Church,"3749 W Huron StChicago, IL 60624","3749+W+Huron+StChicago,+IL+60624",(773) 565-4575,3749 W Huron St,Chicago,60624
529,Livestone Mb Church,"2101 S Millard AveChicago, IL 60623","2101+S+Millard+AveChicago,+IL+60623",(773) 277-2255,2101 S Millard Ave,Chicago,60623
530,Grant Memorial Ame Church,"4017 S Drexel BlvdChicago, IL 60653","4017+S+Drexel+BlvdChicago,+IL+60653",(773) 285-5819,4017 S Drexel Blvd,Chicago,60653
531,Harmony Community Baptist Church,"1908 S Millard AveChicago, IL 60623","1908+S+Millard+AveChicago,+IL+60623",(773) 762-9673,1908 S Millard Ave,Chicago,60623
532,North Star Missionary Workers of America,"1414 S Hamlin AveChicago, IL 60623","1414+S+Hamlin+AveChicago,+IL+60623",(773) 522-7610,1414 S Hamlin Ave,Chicago,60623
533,Apostolic Overcoming Holy Chr,"4138 S Cottage Grove AveChicago, IL 60653","4138+S+Cottage+Grove+AveChicago,+IL+60653",(773) 536-9138,4138 S Cottage Grove Ave,Chicago,60653
534,Kenwood Congregation,"536 E 42nd StChicago, IL 60653","536+E+42nd+StChicago,+IL+60653",(773) 952-6083,536 E 42nd St,Chicago,60653
535,Shiloh Apostolic Deliverance Church,"3858 W Roosevelt RdChicago, IL 60624","3858+W+Roosevelt+RdChicago,+IL+60624",(773) 722-9744,3858 W Roosevelt Rd,Chicago,60624
536,Christ Apostolic Church,"3142 N Racine AveChicago, IL 60657","3142+N+Racine+AveChicago,+IL+60657",(773) 477-9269,3142 N Racine Ave,Chicago,60657
537,Fuente Inagotable,"2017 W George StChicago, IL 60618","2017+W+George+StChicago,+IL+60618",(773) 697-4096,2017 W George St,Chicago,60618
538,St John Berchman's Church,"2517 W Logan BlvdChicago, IL 60647","2517+W+Logan+BlvdChicago,+IL+60647",(773) 486-4300,2517 W Logan Blvd,Chicago,60647
539,St Sylvester's Church,"2915 W Palmer StChicago, IL 60647","2915+W+Palmer+StChicago,+IL+60647",(773) 235-3646,2915 W Palmer St,Chicago,60647
540,Church of God,"3642 W Grand Ave Ste 1Chicago, IL 60651","3642+W+Grand+Ave+Ste+1Chicago,+IL+60651",(773) 687-8415,3642 W Grand Ave Ste 1,Chicago,60651
541,Three Way Mb Church,"3819 W Chicago AveChicago, IL 60651","3819+W+Chicago+AveChicago,+IL+60651",(773) 826-7224,3819 W Chicago Ave,Chicago,60651
542,Greater Love COGIC,"1612 S Hamlin AveChicago, IL 60623","1612+S+Hamlin+AveChicago,+IL+60623",(773) 277-8171,1612 S Hamlin Ave,Chicago,60623
543,Membership Missionary Baptist,"3816 W Chicago AveChicago, IL 60651","3816+W+Chicago+AveChicago,+IL+60651",(773) 292-0403,3816 W Chicago Ave,Chicago,60651
544,Mt Carmel Missionary Baptist Church,"740 E 42nd StChicago, IL 60653","740+E+42nd+StChicago,+IL+60653",(773) 624-3690,740 E 42nd St,Chicago,60653
545,First Church of Deliverance,"4315 S Wabash AveChicago, IL 60653","4315+S+Wabash+AveChicago,+IL+60653",(773) 373-7700,4315 S Wabash Ave,Chicago,60653
546,Assembly Pentecostal,"3452 W North AveChicago, IL 60647","3452+W+North+AveChicago,+IL+60647",(773) 862-6775,3452 W North Ave,Chicago,60647
547,True Way of Life Missionary Baptist Church,"3949 W Lake StChicago, IL 60624","3949+W+Lake+StChicago,+IL+60624",(773) 265-5874,3949 W Lake St,Chicago,60624
548,Youth Center Church,"3679 W Grand AveChicago, IL 60651","3679+W+Grand+AveChicago,+IL+60651",(773) 799-8375,3679 W Grand Ave,Chicago,60651
549,Reborn Community Church,"4002 W Wilcox StChicago, IL 60624","4002+W+Wilcox+StChicago,+IL+60624",(773) 295-6232,4002 W Wilcox St,Chicago,60624
550,Wayfaring Church Of God In Christ,"4338 S Wentworth AveChicago, IL 60609","4338+S+Wentworth+AveChicago,+IL+60609",(773) 536-7970,4338 S Wentworth Ave,Chicago,60609
551,Restoration Outreach Ministries,"813 S Pulaski RdChicago, IL 60624","813+S+Pulaski+RdChicago,+IL+60624",(773) 826-2656,813 S Pulaski Rd,Chicago,60624
552,Mountain Top Mb Church,"323 N Pulaski RdChicago, IL 60624","323+N+Pulaski+RdChicago,+IL+60624",(773) 722-4558,323 N Pulaski Rd,Chicago,60624
553,Greater Sweet Home,"3842 W Chicago AveChicago, IL 60651","3842+W+Chicago+AveChicago,+IL+60651",(773) 360-1479,3842 W Chicago Ave,Chicago,60651
554,Greater New Life Missionary Baptists Church,"726 S Pulaski RdChicago, IL 60624","726+S+Pulaski+RdChicago,+IL+60624",(773) 823-7573,726 S Pulaski Rd,Chicago,60624
555,Chicago-N Spaulding Church Of God,"1859 N Spaulding AveChicago, IL 60647","1859+N+Spaulding+AveChicago,+IL+60647",(773) 278-0803,1859 N Spaulding Ave,Chicago,60647
556,Centennial MB Church,"4359 S Michigan AveChicago, IL 60653","4359+S+Michigan+AveChicago,+IL+60653",(773) 268-8000,4359 S Michigan Ave,Chicago,60653
557,Chicagoland Community Church,"836 W Aldine AveChicago, IL 60657","836+W+Aldine+AveChicago,+IL+60657",(773) 248-4243,836 W Aldine Ave,Chicago,60657
558,Church Of God,"3924 W 14th StChicago, IL 60623","3924+W+14th+StChicago,+IL+60623",(773) 521-9092,3924 W 14th St,Chicago,60623
559,Empowerment Community Church,"314 N Pulaski RdChicago, IL 60624","314+N+Pulaski+RdChicago,+IL+60624",(773) 475-6446,314 N Pulaski Rd,Chicago,60624
560,Saint Parasceva-Petka Church,"2056 N Kedzie AveChicago, IL 60647","2056+N+Kedzie+AveChicago,+IL+60647",(773) 486-0756,2056 N Kedzie Ave,Chicago,60647
561,New Holy Zion MB Ch,"4026 W Van Buren StChicago, IL 60624","4026+W+Van+Buren+StChicago,+IL+60624",(773) 722-4507,4026 W Van Buren St,Chicago,60624
562,Fountain of Life Church of God In Christ,"4363 S Princeton AveChicago, IL 60609","4363+S+Princeton+AveChicago,+IL+60609",(773) 538-3604,4363 S Princeton Ave,Chicago,60609
563,Broadway United Methodist Church,"3338 N Broadway StChicago, IL 60657","3338+N+Broadway+StChicago,+IL+60657",(773) 348-2679,3338 N Broadway St,Chicago,60657
564,Iglesia De Dios Pentecostal,"3532 W North AveChicago, IL 60647","3532+W+North+AveChicago,+IL+60647",(773) 276-7013,3532 W North Ave,Chicago,60647
565,Union Avenue United Methodist,"4350 S Union AveChicago, IL 60609","4350+S+Union+AveChicago,+IL+60609",(773) 373-0577,4350 S Union Ave,Chicago,60609
566,N L C O-Lighthouse,"4338 S Prairie AveChicago, IL 60653","4338+S+Prairie+AveChicago,+IL+60653",(773) 624-0102,4338 S Prairie Ave,Chicago,60653
567,New Life Community Church,"2958 N Damen AveChicago, IL 60618","2958+N+Damen+AveChicago,+IL+60618",(773) 388-0637,2958 N Damen Ave,Chicago,60618
568,11th Church of  Christ Scientists,"2852 W Fullerton AveChicago, IL 60647","2852+W+Fullerton+AveChicago,+IL+60647",(773) 256-9735,2852 W Fullerton Ave,Chicago,60647
569,Union Star Baptist Church,"3915 W Chicago AveChicago, IL 60651","3915+W+Chicago+AveChicago,+IL+60651",(773) 638-8477,3915 W Chicago Ave,Chicago,60651
570,Clair Christian United Methodist Church,"3956 W 14th StChicago, IL 60623","3956+W+14th+StChicago,+IL+60623",(773) 762-7774,3956 W 14th St,Chicago,60623
571,New Holyland Mb Church,"3910 W Chicago AveChicago, IL 60651","3910+W+Chicago+AveChicago,+IL+60651",(773) 235-6360,3910 W Chicago Ave,Chicago,60651
572,Evening Star Mb Church,"4235 S Cottage Grove AveChicago, IL 60653","4235+S+Cottage+Grove+AveChicago,+IL+60653",(773) 924-5574,4235 S Cottage Grove Ave,Chicago,60653
573,Scanlon Lake View Chapel,"1458 W Belmont AveChicago, IL 60657","1458+W+Belmont+AveChicago,+IL+60657",(773) 472-2601,1458 W Belmont Ave,Chicago,60657
574,Rain Or Shine Baptist Church,"704 E 43rd StChicago, IL 60653","704+E+43rd+StChicago,+IL+60653",(773) 548-4855,704 E 43rd St,Chicago,60653
575,River City Community Development Center,"3707 W Grand AveChicago, IL 60651","3707+W+Grand+AveChicago,+IL+60651",(773) 227-4837,3707 W Grand Ave,Chicago,60651
576,Church Of Christ Wtem,"4418 S State StChicago, IL 60609","4418+S+State+StChicago,+IL+60609",(872) 818-5304,4418 S State St,Chicago,60609
577,Resurrection Lutheran Church,"3303 N Seminary AveChicago, IL 60657","3303+N+Seminary+AveChicago,+IL+60657",(773) 525-0605,3303 N Seminary Ave,Chicago,60657
578,Keystone Baptist Church,"4035 W Maypole AveChicago, IL 60624","4035+W+Maypole+AveChicago,+IL+60624",(773) 638-7383,4035 W Maypole Ave,Chicago,60624
579,The Redeemers House Christian Community Church,"3752 W Division StChicago, IL 60651","3752+W+Division+StChicago,+IL+60651",(773) 661-2127,3752 W Division St,Chicago,60651
580,Chicago West Side Christian Sch,"1240 S Pulaski RdChicago, IL 60623","1240+S+Pulaski+RdChicago,+IL+60623",(773) 542-0663,1240 S Pulaski Rd,Chicago,60623
581,St Luke Evangelical Lutheran Church,"1500 W Belmont AveChicago, IL 60657","1500+W+Belmont+AveChicago,+IL+60657",(773) 472-3383,1500 W Belmont Ave,Chicago,60657
582,Chicago Tabernacle,"2625 N Talman AveChicago, IL 60647","2625+N+Talman+AveChicago,+IL+60647",(773) 278-4444,2625 N Talman Ave,Chicago,60647
583,Murchison Isom Temple,"4310 S Champlain AveChicago, IL 60653","4310+S+Champlain+AveChicago,+IL+60653",(773) 924-9250,4310 S Champlain Ave,Chicago,60653
584,Calvary Temple Baptist Church,"4426 S Princeton AveChicago, IL 60609","4426+S+Princeton+AveChicago,+IL+60609",(773) 548-7473,4426 S Princeton Ave,Chicago,60609
585,Institute For Research,"1911 W Barry AveChicago, IL 60657","1911+W+Barry+AveChicago,+IL+60657",(773) 281-5506,1911 W Barry Ave,Chicago,60657
586,Ahmadiyya Movement In Islam,"4421 S State StChicago, IL 60609","4421+S+State+StChicago,+IL+60609",(773) 538-4000,4421 S State St,Chicago,60609
587,Garfield Park Baptist Church,"4100 W Jackson BlvdChicago, IL 60624","4100+W+Jackson+BlvdChicago,+IL+60624",(773) 638-7866,4100 W Jackson Blvd,Chicago,60624
588,Renaisance Saint Luke,"1501 W Melrose StChicago, IL 60657","1501+W+Melrose+StChicago,+IL+60657",(773) 525-4726,1501 W Melrose St,Chicago,60657
589,Foundation of Love Christian Center,"8 N Karlov AveChicago, IL 60624","8+N+Karlov+AveChicago,+IL+60624",(773) 801-1812,8 N Karlov Ave,Chicago,60624
590,Original Greater Garfield Mb,"3813 W Division StChicago, IL 60651","3813+W+Division+StChicago,+IL+60651",(773) 252-7878,3813 W Division St,Chicago,60651
591,New Haven Baptist Church,"4413 S Indiana AveChicago, IL 60653","4413+S+Indiana+AveChicago,+IL+60653",(773) 924-8002,4413 S Indiana Ave,Chicago,60653
592,Zion Temple Church Of God,"1414 S Pulaski RdChicago, IL 60623","1414+S+Pulaski+RdChicago,+IL+60623",(773) 277-1621,1414 S Pulaski Rd,Chicago,60623
593,All Nations Church of God In Christ,"1525 S Pulaski RdChicago, IL 60623","1525+S+Pulaski+RdChicago,+IL+60623",(773) 521-8428,1525 S Pulaski Rd,Chicago,60623
594,Greater Whitestone M B Church,"3819 W Ogden AveChicago, IL 60623","3819+W+Ogden+AveChicago,+IL+60623",(773) 762-4113,3819 W Ogden Ave,Chicago,60623
595,Bethel AME Church,"4444 S Michigan AveChicago, IL 60653","4444+S+Michigan+AveChicago,+IL+60653",(773) 285-5500,4444 S Michigan Ave,Chicago,60653
596,The Fourth Episcopal District,"4448 S Michigan AveChicago, IL 60653","4448+S+Michigan+AveChicago,+IL+60653",(773) 675-5064,4448 S Michigan Ave,Chicago,60653
597,The Glory Group,"1543 S Pulaski RdChicago, IL 60623","1543+S+Pulaski+RdChicago,+IL+60623",(773) 321-9760,1543 S Pulaski Rd,Chicago,60623
598,Lawndale Community Church,"3827 W Ogden AveChicago, IL 60623","3827+W+Ogden+AveChicago,+IL+60623",(773) 762-6389,3827 W Ogden Ave,Chicago,60623
599,First Congregational Church,"1305 N Hamlin AveChicago, IL 60651","1305+N+Hamlin+AveChicago,+IL+60651",(773) 384-8118,1305 N Hamlin Ave,Chicago,60651
600,Church Of The Living God Cwff,"14 E 45th StChicago, IL 60653","14+E+45th+StChicago,+IL+60653",(773) 538-4200,14 E 45th St,Chicago,60653
601,Outrech Mission,"14 E 45th StChicago, IL 60653","14+E+45th+StChicago,+IL+60653",(773) 675-8278,14 E 45th St,Chicago,60653
602,Church of God,"552 E 44th StChicago, IL 60653","552+E+44th+StChicago,+IL+60653",(773) 373-4984,552 E 44th St,Chicago,60653
603,Saint Michael Baptist Church,"4106 W Monroe StChicago, IL 60624","4106+W+Monroe+StChicago,+IL+60624",(773) 826-8554,4106 W Monroe St,Chicago,60624
604,Jesus Christ Holy MB Church,"4104 W Grenshaw StChicago, IL 60624","4104+W+Grenshaw+StChicago,+IL+60624",(773) 265-1115,4104 W Grenshaw St,Chicago,60624
605,Pillar Of Truth Church,"1637 S Pulaski RdChicago, IL 60623","1637+S+Pulaski+RdChicago,+IL+60623",(773) 522-5501,1637 S Pulaski Rd,Chicago,60623
606,Deliverance Temple Church,"1455 S Komensky AveChicago, IL 60623","1455+S+Komensky+AveChicago,+IL+60623",(773) 277-1186,1455 S Komensky Ave,Chicago,60623
607,New Tiberia Missionary Church,"2156 W Wellington AveChicago, IL 60618","2156+W+Wellington+AveChicago,+IL+60618",(773) 472-4626,2156 W Wellington Ave,Chicago,60618
608,Maternity of The Blessed Virgin Mary Church,"3647 W North AveChicago, IL 60647","3647+W+North+AveChicago,+IL+60647",(773) 227-1140,3647 W North Ave,Chicago,60647
609,Saint Agnes Church,"2651 S Central Park AveChicago, IL 60623","2651+S+Central+Park+AveChicago,+IL+60623",(773) 522-0142,2651 S Central Park Ave,Chicago,60623
610,Trinity Tabernacle Baptist Church,"4501 S Princeton AveChicago, IL 60609","4501+S+Princeton+AveChicago,+IL+60609",(773) 548-0566,4501 S Princeton Ave,Chicago,60609
611,Amazing Grace Outreach Ministries,"915 N Pulaski RdChicago, IL 60651","915+N+Pulaski+RdChicago,+IL+60651",(872) 829-3876,915 N Pulaski Rd,Chicago,60651
